Баранов Іван Георгійович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1518%3A2012-04-04-12-36-39&catid=114&Itemid=266&lang=uk
Гринченко Костянтин Миколайович,1959-07-23,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Grinchenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1318%3A2012-03-05-15-08-31&Itemid=266&lang=uk
Бринза Сергій Іванович,1960-12-08,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Brinza/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1305%3A2012-03-05-10-49-38&Itemid=266&lang=uk
Яковлев Ігор Якович,1949-09-24,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Iakovlev/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1413%3A2012-03-07-10-54-15&Itemid=266&lang=uk
Завальнюк Володимир Васильович,1964-02-10,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Zavalnyk/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1166%3A2012-03-06-00-52-14&catid=105&Itemid=266&lang=uk
Акімова Людмила Степанівна,1957-02-21,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Akimova/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1289%3A2012-03-05-09-24-36&Itemid=266&lang=uk
Гроха Сергій Олександрович (Архієпископ Балтський та Ананьївський),1972-09-27,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Groha/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1311%3A2012-03-05-12-57-00&Itemid=266&lang=uk
Верба Олександр Ісаакович,1946-05-08,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Verba/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1279%3A2012-03-05-12-46-15&Itemid=266&lang=uk
Матящук Наталія Михайлівна,1971-09-17,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Matyashuk/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1360%3A2012-03-07-09-29-43&Itemid=266&lang=uk
Ворохаєв Анатолій Іванович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1308%3A2012-03-05-12-49-19&Itemid=266&lang=uk
Запорожан Валерій Миколайович,1947-03-02,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Zaporojan/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1331%3A2012-03-06-09-27-59&Itemid=266&lang=uk
Розов Ігор Миколайович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1421%3A2012-03-16-07-49-13&catid=105&Itemid=266&lang=uk
Скорик Микола Леонідович,1972-11-27,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Skorik/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1386%3A2012-03-07-10-15-25&Itemid=266&lang=uk
Шмушкович Михайло Володимирович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1411%3A2012-03-07-10-53-09&Itemid=266&lang=uk
Чудновець Микола Григорович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1408%3A2012-03-07-10-51-24&Itemid=266&lang=uk
Веселов Сергій Робертович,1960-06-06,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Veselov/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1280%3A2012-03-05-12-46-32&Itemid=266&lang=uk
Дімчогло Юрій Дмитрович,1973-08-19,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Dimchoglo/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1170%3A2012-03-06-07-39-07&catid=105&Itemid=266&lang=uk
Возіян Анатолій Іванович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1284%3A2012-03-05-12-47-45&Itemid=266&lang=uk
Куртогуз Наталія Вікторівна,1974-01-02,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Kyrtogyz/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1347%3A2012-03-06-15-53-41&Itemid=266&lang=uk
Педченко Григорій Миколайович,1955-01-03,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Pedchenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1370%3A2012-03-07-10-01-39&Itemid=266&lang=uk
Гриценко Володимир Костянтинович,1950-04-04,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Gricenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1419%3A2012-03-14-12-42-58&catid=105&Itemid=266&lang=uk
Розов Костянтин Аркадійович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1380%3A2012-03-07-10-08-22&Itemid=266&lang=uk
Карпенко Микола Миколайович,1978-10-18,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Karpenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1339%3A2012-03-06-15-36-53&Itemid=266&lang=uk
Лавріненко Костянтин Костянтинович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1349%3A2012-03-07-09-11-42&Itemid=266&lang=uk
